participant_code,participant_age,participant_gender,participant_education,participant_tech_adaptation,participant_speaking_anxiety,assigned_condition,trial_index,condition,prompt_id,prompt_text,suds_pre,suds_post,delta_suds,recording_duration_sec,rerecord_count,review_time_sec,audio_played,text_only_used,tabs_visited,felt_in_control,helpful,word_count,filler_count,wpm,started_at,finished_at
Irmak Kucukoba,23,female,bachelors,5,4,control,0,control,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,75,66,-9,59.37,0,29.61,TRUE,FALSE,[],6,7,,,,2025-12-29T21:23:30.925Z,2025-12-29T21:25:56.719Z
Irmak Kucukoba,23,female,bachelors,5,4,control,1,control,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,65,70,5,30.46,0,1.7,FALSE,FALSE,[],5,6,,,,2025-12-29T21:26:10.450Z,2025-12-29T21:26:57.795Z
Irmak Kucukoba,23,female,bachelors,5,4,control,2,control,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,57,55,-2,32.92,0,1.61,FALSE,FALSE,[],5,6,,,,2025-12-29T21:27:07.686Z,2025-12-29T21:27:52.049Z
Irmak Kucukoba,23,female,bachelors,5,4,control,3,control,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,65,70,5,37.85,0,4.09,FALSE,FALSE,[],4,5,,,,2025-12-29T21:28:03.573Z,2025-12-29T21:28:53.940Z
Irmak Kucukoba,23,female,bachelors,5,4,control,4,control,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,53,50,-3,49.39,0,1.19,FALSE,FALSE,[],4,4,,,,2025-12-29T21:29:04.881Z,2025-12-29T21:30:11.820Z
D K,21,female,bachelors,3,2,experiment,0,experiment,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,36,73,37,24.08,0,58.48,FALSE,FALSE,"[""coach""]",4,7,45,2,,2025-12-29T21:55:35.073Z,2025-12-29T21:57:38.751Z
D K,21,female,bachelors,3,2,experiment,1,experiment,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,10,5,-5,24.47,0,2.79,FALSE,FALSE,[],7,7,45,2,,2025-12-29T21:57:54.232Z,2025-12-29T21:59:01.755Z
D K,21,female,bachelors,3,2,experiment,2,experiment,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",77,28,-49,21.81,0,21.39,FALSE,FALSE,"[""coach""]",6,7,26,0,,2025-12-29T21:59:09.737Z,2025-12-29T22:00:05.647Z
D K,21,female,bachelors,3,2,experiment,3,experiment,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,75,21,-54,26.05,0,2.8,FALSE,FALSE,[],7,7,36,0,,2025-12-29T22:00:25.263Z,2025-12-29T22:01:10.623Z
D K,21,female,bachelors,3,2,experiment,4,experiment,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,25,7,-18,29.22,0,3.82,FALSE,FALSE,[],6,7,49,2,,2025-12-29T22:01:21.630Z,2025-12-29T22:02:11.158Z
D U,21,female,bachelors,6,6,control,0,control,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,50,80,30,54.57,0,49.25,TRUE,FALSE,[],5,6,,,,2025-12-29T22:05:41.072Z,2025-12-29T22:08:32.455Z
D U,21,female,bachelors,6,6,control,1,control,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,50,25,-25,50.65,0,235.15,TRUE,FALSE,[],6,6,,,,2025-12-29T22:09:14.054Z,2025-12-29T22:14:20.024Z
D U,21,female,bachelors,6,6,control,2,control,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,38,26,-12,60.86,0,13.77,TRUE,FALSE,[],6,6,,,,2025-12-29T22:15:29.292Z,2025-12-29T22:17:01.862Z
D U,21,female,bachelors,6,6,control,3,control,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,19,10,-9,69.04,0,3.89,FALSE,FALSE,[],7,7,,,,2025-12-29T22:17:41.395Z,2025-12-29T22:19:09.996Z
D U,21,female,bachelors,6,6,control,4,control,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,14,6,-8,72.78,0,6.13,FALSE,FALSE,[],7,7,,,,2025-12-29T22:19:29.824Z,2025-12-29T22:21:13.003Z
E Z,22,male,doctorate,7,2,experiment,0,experiment,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,5,5,0,63.95,0,58.88,TRUE,FALSE,"[""coach""]",7,5,205,9,,2025-12-29T22:41:21.763Z,2025-12-29T22:44:02.214Z
E Z,22,male,doctorate,7,2,experiment,1,experiment,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,5,5,0,27.47,0,25.89,FALSE,FALSE,"[""coach""]",7,6,82,0,,2025-12-29T22:44:14.617Z,2025-12-29T22:45:55.009Z
E Z,22,male,doctorate,7,2,experiment,2,experiment,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,5,5,0,35.86,0,23.95,FALSE,FALSE,"[""coach""]",7,6,117,2,,2025-12-29T22:46:36.904Z,2025-12-29T22:49:30.929Z
E Z,22,male,doctorate,7,2,experiment,3,experiment,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,0,0,0,41.28,0,25.06,FALSE,FALSE,"[""coach""]",7,6,126,2,,2025-12-29T22:49:55.093Z,2025-12-29T22:51:17.742Z
E Z,22,male,doctorate,7,2,experiment,4,experiment,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",0,0,0,54.51,0,68.63,FALSE,FALSE,"[""coach""]",7,7,167,3,,2025-12-29T22:51:32.171Z,2025-12-29T22:53:53.232Z
I G,21,female,bachelors,6,6,experiment,0,experiment,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,93,50,-43,151.7,0,73.3,FALSE,FALSE,"[""coach""]",4,6,243,5,,2025-12-29T23:29:08.865Z,2025-12-29T23:33:17.484Z
I G,21,female,bachelors,6,6,experiment,1,experiment,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,69,61,-8,67.31,0,42.72,FALSE,FALSE,"[""coach""]",6,6,101,3,,2025-12-30T00:27:31.060Z,2025-12-30T00:29:42.123Z
I G,21,female,bachelors,6,6,experiment,2,experiment,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,59,35,-24,148.84,0,30.05,FALSE,FALSE,"[""coach""]",6,6,251,12,,2025-12-30T00:30:11.235Z,2025-12-30T00:33:29.453Z
I G,21,female,bachelors,6,6,experiment,3,experiment,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",43,29,-14,116.62,0,21.4,FALSE,FALSE,"[""coach""]",7,6,189,11,,2025-12-30T00:33:42.876Z,2025-12-30T00:36:14.594Z
I G,21,female,bachelors,6,6,experiment,4,experiment,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,35,35,0,93.69,3,9.81,FALSE,FALSE,"[""coach""]",6,7,146,6,199,2025-12-30T00:36:43.951Z,2025-12-30T00:41:45.399Z
C D,22,male,bachelors,5,6,control,0,control,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,75,70,-5,60.9,1,51.8,TRUE,FALSE,[],5,6,,,,2025-12-30T01:05:42.924Z,2025-12-30T01:09:48.454Z
C D,22,male,bachelors,5,6,control,1,control,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,54,51,-3,56.63,0,44.35,TRUE,FALSE,[],5,5,,,,2025-12-30T01:09:55.732Z,2025-12-30T01:11:58.216Z
C D,22,male,bachelors,5,6,control,2,control,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,40,42,2,64.66,0,0.96,FALSE,FALSE,[],6,7,,,,2025-12-30T01:12:10.875Z,2025-12-30T01:13:26.476Z
C D,22,male,bachelors,5,6,control,3,control,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",40,50,10,54.36,0,6.43,FALSE,FALSE,[],6,6,,,,2025-12-30T01:13:34.012Z,2025-12-30T01:14:45.722Z
C D,22,male,bachelors,5,6,control,4,control,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,30,33,3,57.22,0,1.36,FALSE,FALSE,[],6,6,,,,2025-12-30T01:15:14.029Z,2025-12-30T01:16:26.132Z
H R,29,male,doctorate,5,2,experiment,0,experiment,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,50,61,11,52.39,0,16.09,FALSE,FALSE,[],5,5,104,6,,2025-12-30T09:16:09.234Z,2025-12-30T09:18:10.984Z
H R,29,male,doctorate,5,2,experiment,1,experiment,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,44,50,6,42.65,0,93.82,TRUE,FALSE,"[""coach""]",5,4,75,2,,2025-12-30T09:18:54.389Z,2025-12-30T09:21:45.421Z
H R,29,male,doctorate,5,2,experiment,2,experiment,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,55,42,-13,40.43,0,43.14,FALSE,FALSE,"[""coach""]",4,5,64,3,,2025-12-30T09:22:34.498Z,2025-12-30T09:24:16.447Z
H R,29,male,doctorate,5,2,experiment,3,experiment,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,44,38,-6,84.61,0,51.63,FALSE,FALSE,"[""coach""]",6,3,169,3,,2025-12-30T09:24:37.016Z,2025-12-30T09:27:12.477Z
H R,29,male,doctorate,5,2,experiment,4,experiment,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,40,39,-1,33.42,0,22.25,FALSE,FALSE,"[""coach""]",5,3,79,2,,2025-12-30T09:27:45.699Z,2025-12-30T09:28:55.560Z
S N,19,male,bachelors,7,4,experiment,0,experiment,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,66,39,-27,29.27,0,64.9,TRUE,FALSE,"[""coach""]",3,5,41,2,,2026-01-09T13:54:12.582Z,2026-01-09T13:56:44.413Z
